task_id,antecedents
03bc1ee3ce6853d73540,[20]
03d85d5a259bfa80f9b6,"[3, 9]"
04081f45557395cf2b41,[1]
04121236f79de8feca7d,"[4, 8]"
042149720733003228ee,"[14, 18, 19, 23]"
0428d9e1e8dbb1bacf17,"[19, 21]"
042cfea469e5878e56a5,[19]
042f7218f5891c14fe25,"[12, 23]"
0446a57758a11ad8b67d,"[9, 17]"
0459e15e7fc8cabc7ab6,"[8, 10]"
046ef3a0901eedb21922,"[21, 23]"
048cfb0f178924ebf47a,[0]
049073752cef5d8cb680,[9]
04976762639ca8e76abf,[6]
04a2e613c644248b230c,"[1, 4, 11, 17]"
04d869a5234be89d5861,[20]
04d8b820418ab8c76bcc,[11]
04df8a7a9968f8230086,[22]
04f2bd2163e0d114d148,[1]
05023edd5a313fa1377a,"[4, 16]"
050c55cb9b64f64de2bd,[23]
050d11abb2ac96cf4938,[20]
0514d2cbbe58437aec53,[8]
05239fdc9c0cc418f1dd,[23]
05288b7e93ae544de020,"[13, 19, 21]"
0547e096e0002b9d1aab,[20]
05533f8f008a2e63529e,[23]
055dbc2b1ca7b9313c3f,[4]
056cd12f7268d2ade337,[16]
057c53b06146833be216,"[12, 16]"
059ccbfb9f24f83cbc79,[5]
05a4ec0d4847c8e742b9,"[12, 14]"
05bac4d3b70e9b63a765,[14]
05d95f75dffba8ba03b1,[20]
05e4cfd4a4beac58bd9d,"[17, 21]"
05f312eb9b32052f4e29,[4]
05f6386eba99b6930eb0,[18]
06036b732ed21c97f8fb,[7]
061207b3c9e910d42f12,[22]
06395d89004f73e074b6,[8]
0643fba2cd7d8d75edf6,[6]
066338b33bf3c80feb0c,[11]
068660c0ec3b489af385,"[7, 21]"
068a73db13d3109573a4,"[4, 5]"
06a9cccd48cfe643437a,[23]
06b05e976f35c06d53e0,[6]
06b3fdbec2ced3526e7a,[5]
06c4a67a3db136416695,"[1, 17, 21]"
06f22b60f50c1fdd071f,[20]
06f2bf7937463ab7e7c7,"[11, 23]"
06f5d9d9244ff5c36477,[22]
07066d19ae2fe6064696,[12]
0708229e4cdcb62350a3,[19]
0708e558f36051a2bc58,[20]
07096cc2d4104a4b4fb9,[23]
070a34a952a0e00f58fd,[4]
070d2bd7d6810ff465f8,[11]
07105360dc8a7d7743c1,"[8, 10, 15]"
0727ea57a366e9e2ff48,[4]
0739383982d0fda75152,[21]
0753c8725609b6e1afc5,[5]
075baad33c0d5b04cb55,"[3, 7]"
0768fad43632db743314,"[1, 12]"
079d910b7ebbc5a9d0b8,"[0, 3]"
079faa745fb2d69d1a81,[19]
07b6ac9f0a90c0d2395d,[2]
07bb18c9cb675dd0c2ca,[18]
07bdf7f5e35b3b4ceecb,"[0, 5, 8, 23]"
0802c6f48040f8b0bfc6,[11]
080697351bde799fde58,[21]
08583b4985a70a762b81,[22]
088e491473ffdc207475,[16]
08c5932ee42303a8929a,[12]
08d53727f25ae424c00a,"[22, 23]"
08da043e2d1dabc38bfe,"[15, 19]"
08ea527c0323bf79ec46,[15]
08fee766f7d79ae2043f,[5]
092491e56dbd61cfe9dc,[18]
0925f908dc082cd23a0f,[17]
09264e1e600d697feded,[4]
0928400b72dc18ffc62c,[17]
094e1de0a70c1664ffc0,[12]
095c09b6f8707844092d,[20]
095d39986ad364428b43,"[19, 21, 22]"
09667e48cc0c4f671e3b,[20]
09801ea2daa823b39c63,[11]
0997ee21dc94e21cbf46,"[10, 11, 14, 23]"
09b3829f5fc1cbabc69e,[13]
09c6f515fd2543e376b6,"[21, 22]"
09ed9448615a2d3a3060,[23]
0a0496e886c6b0ea217d,"[20, 22]"
0a1d19a51b9fe458bee4,[19]
0a2d627a10a5e31ab9a8,"[4, 21]"
0a2f5947ceb7a9d90f4f,"[4, 10]"
0a3e0525225f67f5b0bb,[0]
0a3e3bbbf142055f58bc,[19]
0a45c225d33f79bab99d,"[4, 15]"
0a4ccb35d88bce844e86,[21]
0a5f4922793c4c136a0c,[13]
0a69f73bdde5c6dc441c,[16]
0a6ffbb7113f58bd7e64,[13]
0a807eb38410081b6504,[4]
0a825feee38a118ca031,[20]
0aa502322c8c09e63ab0,[12]
0abad6f41e4f4183ba93,[19]
0ae5288d32044161d1ab,[21]
0af4208f247ef4e4e480,"[9, 22]"
0b0035e5f43cc77d63a9,[6]
0b0894bc4481352e0f1f,[5]
0b0f77d1d5817738a4ce,[16]
0b25c5c96534a4b1193e,[15]
0b3e1a681a12d8dd20ac,[17]
0b621f26561c253e591e,[23]
0b6a0b0bccfc0249428f,[12]
0b71d1f40695fe35b0a6,[8]
0b9b76433a1039b78f4e,"[0, 6, 11, 19]"
0b9e0c3c0f952d154756,[0]
0bc4558e5f7c7f29ece3,[2]
0bccd6b12bf8a91849ec,[6]
0bccfc4522100ef54588,[17]
0be256c45e5a8c5435c6,[6]
0be69a855c885741c0a2,[19]
0bea4240ee9a723edba8,[0]
0befa0fce48f65eb40e1,[14]
0c2306fb692bc0e5d675,"[5, 10]"
0c5f3332b45aaa786418,"[5, 7]"
0c7f29d88e43d9d021d2,[7]
0c8dea16de610d8ef575,[23]
0ca02c90fd7811fb51ba,[23]
0ca6e9ec92afdeabce84,"[18, 22]"
0cb23e509d0144fcf374,[4]
0cde0f42e4013164d893,[9]
0ceea632d60413d6078d,[20]
0d39f3dea37973cddf5d,[2]
0d44c6d6935bccdad198,[22]
0d4649c0c31f7bf90b0b,"[8, 9, 11, 13, 21]"
0d49a4e6a7f065ae9781,[0]
0d49bf6e1c6cf2c3c01c,[17]
0d55f2e097db7f5cda7d,[11]
0d69fe15ac2b6aaf5434,[16]
0d76168808fee5304382,[5]
0da71ccdc598774ab4e8,[21]
0daea36e2376d8a0c6ed,[17]
0db7fdb9442f707d0089,[9]
0dd61f456c2e87aff98a,[20]
0dd792dbbb81541fa554,"[13, 18]"
0ddcc5f8a74f12be6f2f,[17]
0de0b92570e53e55aeb9,[17]
0dfa2db8995085d61af8,"[2, 10, 16]"
0e21865ed73fe7b89ae1,"[6, 21]"
0e426ae1060527d20840,"[4, 11]"
0e6000030697df15e9f8,[21]
0e8354ef44e61dd68d72,[21]
0ea76877828a7fcbb3b1,[15]
0ef1737013634a2016ce,"[10, 22]"
0f00e429ae64ea53077b,[3]
0f03576c0f6e82d041b3,[6]
0f1897528c192ee64b2e,"[15, 17, 22]"
0f1c7291ca9deb216d31,[2]
0f1d8b34250f56687a0b,"[18, 19, 20, 21, 22, 23]"
0f275d65f76f420e4342,[21]
0f69c69a4347340a644d,"[12, 14, 17]"
0f75e8456e3a3a1b9cf7,"[21, 22]"
0f78aa431c74a51052eb,[14]
0f8e467bb345fca1a0cd,[11]
0f9443fa2da4f25e1087,[14]
0fa1d623d6f3b7669378,[14]
0fa2606dd3c0e51aecde,[11]
0fab06669a889a31bbb1,"[2, 5]"
0fab71ab4c2542d2f944,"[11, 21]"
0fb35c5840386782d626,"[9, 23]"
0fc16f95b43a20af8669,[19]
0fddf554dbb6f5390028,[23]
0fed06cece4fa953f6b2,"[1, 4, 17]"
0ff27f5edc191f77c217,[12]
101945c095b2c6937f75,[16]
1043d79310d3cea41f57,[19]
108520d9ada1e22f3403,[5]
10985af51be5e977bb38,[23]
109e6efbdfb98019a7b5,[6]
10a78ee618906a91e5fd,[14]
10a88654a683da6e32a9,[21]
10cca9cae5286e3f1c82,[7]
10fb2aa1dce682aec269,[23]
10fd3b3738c49eae6140,[2]
110aad1ed8618a99757c,[21]
1110dd20ab2d08702eb4,[21]
111f9b67f1dedc91ddd8,[19]
1126ff3bbfe8e31b6fda,"[2, 4, 11]"
112ec6a1658d8e836f9c,[23]
113c93d67c6c34242c2a,[20]
1140b0fcdfda53488d8d,[21]
1184eb2b3bbdf1b85f2d,[22]
11a75d0558c057f81c58,"[10, 23]"
11afce796444d0ad1a55,[3]
11c7ca34a77f758f8a73,"[0, 9, 14, 18, 20]"
11d9c0b58020ff4cdad7,[20]
11fc996b81a7532b7c5e,[12]
121cc5996c9b679539cd,[13]
1222e49e6039cc563765,[21]
12232b5f82fc5f414fbd,"[20, 22]"
124bc637f387972bd7d0,"[0, 19]"
12503e00f7355aff6232,"[13, 16, 18, 23]"
12504a415c88e962c050,[5]
12620f465a94ea3e9cf4,[6]
128068135e6af24380d0,"[13, 20]"
128d3d56034f90f87b97,[3]
129564b4278485e6554b,[22]
12997cbb0c07db74208a,"[10, 15, 16]"
12ab4c845adef06e97e8,[6]
12bf718c936dad091873,[14]
12c56c8f1d540c9d41a6,"[4, 6]"
12d33cee901ecb171468,"[17, 22]"
12d9474d92405f51d0fb,"[5, 13]"
12e9a4ded88b18a38105,[21]
12f60bc737aa2eb2957d,"[4, 12, 23]"
13024f96c0375f48b518,"[14, 19]"
1343b14bb51181d82cfa,[15]
1344c7c588d3c47b2f94,[12]
136222cd148e60425f49,[1]
1388fc35deae754ab18b,[22]
13ab4c8f9b78a3d06afe,"[12, 18]"
13ebc5fdc73ab06df949,[20]
13f249c92a0cd3876023,[18]
13f753ae1b523308e2ba,[17]
1401cd3ca772d76d3abb,[21]
141627e21fa4ea47f753,"[0, 8]"
143d763d1336969664c7,"[11, 20]"
1459edbff82aa034e62e,[20]
145ad4fbcb34c8a11717,"[2, 22]"
147faf177ddb7f95628d,[6]
148c3c162756a3fbf46c,[3]
14a5b1f7768e65fb2df7,[23]
14b2e070b2d313e09d1f,"[21, 22]"
14c6f9be29a22c9ed08e,"[20, 22]"
14c77d6df4fe8be572e9,[20]
14d51d795d34c515d0ff,[3]
14de6ab21171ddeaaae1,[14]
150ef2fb35b3f7378807,[2]
152d7529c8c178d74a96,[10]
15324ae9f3fe9f30cb5d,"[7, 12]"
1538550cce6a4f5c58fb,[15]
153fe1c1f3e85bba053a,"[11, 16]"
154c7694ef552a2a7542,[23]
1552736460919ccbdc75,"[2, 20]"
1556a0cafde6753ff63b,"[14, 21]"
1567c6604723bf911922,[20]
158d52abab60cf178a51,"[0, 1]"
15a5dbca1b4c913d39a7,[14]
15bd0e34e7090ca5ed66,"[0, 18]"
15c2f8750fa86466c973,"[7, 19]"
15dbcec08b00dd13d9df,[0]
15f9c934244883730de5,"[4, 8, 11, 15, 17, 20, 22]"
1610dee73122a73c43a4,[11]
161aa7d5532478ab0519,[16]
163545c3483039ecd21e,[11]
1664044b313f3f04baa5,[1]
16789d5e771851851b5a,"[0, 1]"
16994c0945e7e9350446,"[10, 12, 14, 20, 22]"
16c2766a86aeced0128a,[15]
16d198da472cb4216c8c,[20]
16d544d09a7f84e68d05,[16]
16e5d40f597977d9e25e,[4]
16eb40d43e55aeeda3fd,"[9, 12]"
16f113d58ff9bcb5ea56,[23]
16fb0ee302cdf79e1215,[3]
17085cecd181fee82508,[20]
174d94746db012d045a7,[20]
175857ec3dd2d0acba74,[5]
1776bbab03e87bb0c4da,[1]
1779d7981957800d1f5f,[17]
179367686cf6ff089b90,[14]
17b5e58b61d3b74d1c20,[22]
17bf3f8be733ac0b1575,[20]
17f949090699d714d900,[5]
182143df2cb91ed3bed4,[7]
1825ce80bd44d5c4556e,[20]
183df303b6d1385820d5,"[17, 22]"
183f811f18c2714ed322,[22]
18503941b24ecdcb101c,[21]
185a1f59a3380fb29568,[15]
1868f84e34e176ece703,[8]
187988f6bf9ef299b4f5,[14]
1880ecd0872102a9c213,[15]
18968373ee786f820fdf,[22]
18a64fb4b6232a295819,"[13, 18]"
18b46e7b23680dbafe4a,[11]
18ba4cf57d7612e07016,[8]
18c7e2afb73b84aa38ff,"[5, 13]"
18db3d8a5f4992f08256,[6]
190cf4515c077f3e8bd1,[21]
191581ed233f7066842e,"[3, 8, 16]"
193318c1d561a49b46d2,[22]
194903a69acbc128a72a,[12]
195bb8253571082410e9,[1]
195c0a74a4c09f18051b,[22]
195dc88353e97750008c,[22]
19679e5fc225b5288e17,[13]
19847d5cf0cdd50f87f3,"[0, 3, 7, 18]"
198691e6cf4cf411afe8,[18]
199b676d9835162011f7,[2]
19a5c3a7e857ea5d2b8e,"[9, 14]"
19c619a0bdb491242493,"[5, 6]"
19e18cce55e4b9582ca2,"[19, 22]"
19f4657fb9c0d34bade9,[17]
1a011442ac6ee0517599,[11]
1a0bc67ea8af719c669b,[19]
1a1c97343704f1c3988b,[17]
1a233779ef9f18be107c,[0]
1a27b7137c82e2ecbebf,"[13, 16, 22, 23]"
1a3a88ae571722c587bb,[17]
1a492a8957f932c9c762,[21]
1a5586ee21bff1d7569b,"[9, 12, 13, 14, 21, 23]"
1a617d4d0ef5f58dd786,[10]
1a776b1d5f408fb71830,"[5, 18]"
1a79dc244aef3dac70f9,"[5, 6, 8, 11, 23]"
1a80fb54dcdef93ee092,[16]
1aa066e8c5a7c97b0699,[18]
1ac14498177db317f46a,[22]
1af23a07868283915173,[4]
1af64e7f8cab9317ed31,[23]
1af6551b46ac9117687a,[18]
1af8e1e6e69cf12fa04e,[1]
1af9a4d79bf236bff966,[21]
1af9cc9d8e0b8ed6bb57,[17]
1b21c1d52a1ec14a2e90,[20]
1b2efa88150e6ada1679,[16]
1b380f73bb9bd3be66fd,[8]
1b4a67b9d5118647b6f2,[15]
1b5cbbb1785e40e0e228,[7]
1b798721ec11a3bdfb5e,[19]
1b9bc2db8fa4637cb0f3,[23]
1bb7686556ae425dc5d1,[21]
1bba886ea76054a6caa3,[22]
1bc332b8990fef773823,[7]
1bcb2b5709af6f14089b,"[6, 11, 13]"
1bcf7e1e5a2f884d2fbb,[16]
1bd22241e1af051fb291,[22]
1be4d25fcd39b5503664,"[3, 16, 20]"
1be5ae7c6a9f9acb33a0,[20]
1c3d00bddc5f342dbe22,[21]
1c45978a83eec490d1cd,[23]
1c465510db915ee3f00f,[14]
1c53e58a2444961717b6,[22]
1c648350e510f69094c5,[12]
1c64eb462566a53984c1,[6]
1c65de740078d11b6d7d,[11]
1c6c8237f5ff6117fca5,"[2, 7, 18, 20]"
1c755b830d9a21760845,[17]
1c8164797db71d2e91b2,[3]
1cc45cbe5436050a6c68,"[2, 19]"
1cd146c89a5dc1969d85,"[12, 16]"
1ce27d4881c5b4be28ff,[21]
1cecca002f23aa6a873f,[1]
1cef68880d9764d38e56,[22]
1cf6231c72a1414385a7,"[2, 12]"
1cf9a24a6daf71fdcf98,[1]
1d2c475d004d11dae29a,[10]
1d3d9bf7415a093bed6a,"[8, 10]"
1d410bf5764224b991a3,"[1, 10, 20]"
1d42c0bd24883bb10433,[22]
1d657dc1fe43816135e2,[18]
1d66d0754d4a27c15047,[22]
1d6a5a148432472efa5c,"[0, 6, 7, 12, 13, 16]"
1d8532d416ab3f930345,[17]
1d8fde0b98ed8ef7ddd7,[13]
1dd29953484805e0c6ae,[11]
1ddc7fff8d402124d2f8,[12]
1e0f065cc56419bb01f6,[15]
1e11e7e34da777459b11,[5]
1e12b5785b67b68be411,[21]
1e2ee1e8bcc973eeb131,[11]
1e4f1baffbe7fc86d8d7,[22]
1e623c875aa0d3e9461e,[13]
1e6e8eea69373900311f,[22]
1e91c0e04b766e1ad186,"[1, 22]"
1eb806032dfd04a20ba3,[23]
1ecd2345be20ad0addda,"[1, 4, 16]"
1ee4cf65dac106f6040e,[7]
1eeeb2f24282ddec599d,[20]
1eef754d6f086eb3df12,[21]
1f15e9dbdb02a01a4955,[2]
1f17c9ce6355dc633d4a,"[9, 12]"
1f32ec006e6af35894fc,[13]
1f445b5e609fe0732662,"[3, 7, 18]"
1f4b47029acf0a37769b,"[6, 7]"
1f56fd2002b786884276,[22]
1f6a2320e223c322a0b2,[4]
1f721d9f864d2a2e9eef,[8]
1f9817700c99b159c8dc,"[7, 18]"
1fa0d3479cf728dfb17c,[5]
1fa1e995f03cc0f9749f,"[11, 15]"
1fc11fa2420a5d803602,[22]
1fc551c7d80f09ed58bc,[12]
1fc59b61c15c7bc757e5,[9]
1fd27a1bd1bda5a49bfa,"[2, 7, 10]"
1fd9d47a3b44b795481f,[16]
1fe7bd6434c1273bda69,[4]
1ff548a05ef169fc4073,"[13, 22]"
2006f2662ade68fbe0eb,[13]
200b81bbebd2c80860b0,[20]
20123460bd20e32c9ae7,[15]
20271e6fb4772253f490,[20]
2031893cd540845effc6,[2]
20689110d842377de01b,[12]
207cbc448fc06f8ac302,[21]
20a5ee5f0d822e45819b,"[0, 1]"
20ab5e4899e7f747415e,"[3, 6, 9, 11, 23]"
20ea399fd9c2fcdd5bd5,[21]
20f6d6773907cb99744c,[23]
2128c43f4686a6265048,"[1, 6]"
2130c37e3a81c624c96a,"[4, 17]"
2137dbed10a6863dc0a8,"[9, 12, 21, 23]"
218de56628d7150e8dbe,[19]
2191584327aa59b93d6a,"[12, 20]"
219c0699daab13db8139,[6]
21a0e32e93c54250daa4,[12]
21a7429ed4f696f48aef,[22]
21ce255ac97770155691,[16]
21e1f048386fdd4c8926,"[13, 19, 21, 22]"
21e3d75bc4e0210ca9c8,[21]
220167ee13e6dd459545,"[10, 21]"
2203360e59996c2cebad,[12]
2212f4c990e9a5bc986c,[14]
221b28de8124bbd838d4,[16]
222c7084109875e0f624,[0]
223d8e35033f02426609,[19]
224684c94cc5a6ab4aea,[17]
2259642a178ca903e80a,"[1, 19, 21, 23]"
226dfe08a7b768acefbf,[2]
22984f05bcfbbcb014eb,[19]
22b49c484e320ca6c78e,[18]
22bf58a906d332a8cda1,[7]
22c2b4578cd8187a7b1e,[23]
22dfc791cba8e33414ba,[21]
22f20162ca4ee2165b46,[7]
22f4121a9e25f2cd9d08,[9]
22f8f1fdc9a653c446ad,[12]
2309266ee02a29529ae7,[20]
230db1cbaba53931078e,[20]
231573453c4d99759f0d,[5]
23194a424c2ad8d9cf72,[8]
231be4b5e3e7a34da921,[18]
232b62dcd92806bc58f6,[16]
2332d2038083a2676ea4,[7]
23381b084b145e2b5037,[13]
2365059ef04af6b59b3b,[18]
23a043ff9e289d27d68d,"[0, 15]"
23bd13e5bab764a2f034,"[9, 12, 14]"
23bdf4d8068b1851332f,[22]
23c7b95647e9f3f44cce,[21]
23cace67659f542d9252,[22]
23fddfc0dca5c938baf8,"[13, 15]"
241018bdcb1cac6805e5,[8]
2410d1bfc9b16428cc67,[2]
2413c70c5c68e8d1f14a,[18]
24162e0db511b76e9925,[20]
24176096e0c3bad0eac6,[22]
242a035696007e62cdc7,[22]
243071d95a35bb541f01,[11]
2435bec2b70d740b795e,[2]
24402244e57ed0ac3357,[14]
2452087c2067e4fcf96d,[19]
2452d67d640c6fbe19ee,[13]
2454b49b1cd8ea80061a,[10]
24565becb1e18bcda40c,"[20, 21]"
24769bb25eca51fd7ae3,[23]
247c3cded17f084955c0,"[20, 22]"
247d76c321487933e3ee,[15]
24922899b7bd18f770aa,[11]
249aba4761f57acf0b75,[11]
24a3067739215db7f742,"[19, 20]"
24b54873e8fe9eaa40f1,[16]
24b757eb4f4ff09b7d55,[2]
24bf30e3059388d5d0ab,"[20, 22]"
24c688a3bd9a1a9c37e3,[22]
24f69ae55294cc02383c,[2]
2508f9f95853f2edff46,"[21, 22]"
250d3f021e864dd8cf67,[9]
252e505bed6d051d531c,"[12, 20, 21]"
253225ded798940ed22a,[18]
253acbd2bfa574d6328c,[15]
2566fd6f5475b23e52c1,"[20, 21, 22]"
2571f1a164a576ec2c6d,"[5, 11]"
2589fde5457a48081297,[14]
258cdb96e1c883d6c4fa,[9]
25970c0800a2ec9efb7a,[22]
2597cd8b6457bcf82ac8,[20]
25b1f70bc212e3e45e61,[8]
25da8e56a2563edd2e8c,[17]
25df365421a7f31d8260,[15]
25e1105a957f4e8b01b4,[20]
25f18de5f84a067b8090,[23]
261d09f39a17768b061c,[17]
2626001ffdd7a102ac76,[5]
263803df7e4c04e4db6d,[2]
263cfece4cc8c42a7a6e,[0]
265fbd7c7128b73d0346,[19]
266cf097f9262303cbff,"[0, 18, 20]"
266f9131647d173c819a,"[4, 15, 19]"
268669fca0f8ba945ecd,"[1, 20]"
269d6473026d60be18e4,[4]
26c0baf01319dde5f693,[2]
26c4b07b74b0dc93907f,[12]
26e38521cc40e80f8835,[23]
26ff4ae5deabd2ae2ca2,[4]
27039f3aee4e677f5521,[14]
271fd8d5229f0e4ea60c,[23]
274d4f490427f0c87825,[4]
274f30049290549af6d4,[21]
2768e85c9e09deee52ba,"[12, 15, 19]"
2773c1e64680810dba82,[22]
278253de7ca5e563d971,"[6, 14, 20]"
27851b516301a5cc6695,[23]
27964e6e073a227ced60,[8]
27a67c1e070d62452c9b,[20]
27c6c74df5e8252d372d,[5]
27dcc871b325b65c2046,[13]
27ed87192e6edcc88065,[22]
280539537975552ae30e,[4]
28067dca7c58ccef0a21,[6]
280882daed501ec72151,"[9, 20]"
286b4c9c9a0b38b4bef6,[22]
28761ab444638bc3035a,[21]
28852d63fb01eadd736a,[17]
2896e23e1e4f334bd1aa,[23]
289f1a5db61a33c30e3f,[4]
28c7ee5c16be12cf89a1,[15]
28c9f17e9101cffa178f,[11]
28cd1285d46b2e3fd0c1,[19]
28f64dede8ac71665201,[21]
2924fa8cacf58f7b14b5,[23]
29475e9051ee0fd3a355,"[8, 17]"
294ee9f544d0a113bec3,[19]
2967576ab11679439050,[18]
296ab1e9be299eee190a,[15]
2973653b4363ffdcb4b8,"[16, 20]"
2988584e1de0dc337ab3,[16]
2991867e61430eb5a70b,[7]
2998fa3034f220a06d65,[19]
299f9b27f9608cf8b37f,[13]
29b330a8a25fae2473cf,[14]
29b33f72c8432096651b,"[1, 5]"
29e72cdb6e3756a906ec,"[2, 20]"
29f07947b3c4345ad063,[23]
29f451c2aa5b1bca6ef8,[21]
2a0f1a397edda11ff63d,"[3, 12]"
2a1de1c20ef852efe9f9,[23]
2a2090f44ce23c0d5605,"[17, 22]"
2a44758924a810774942,[18]
2a4aefd027c3a5586606,"[12, 22]"
2a4c230d3322b22c4cf5,[21]
2a779a86ee8c77e019aa,"[0, 18]"
2a7c2c63a5ed01c9f2a6,[19]
2a9d350751531e3a27f7,[1]
2a9d584b87886fa52faa,[2]
2aa5c513f28e82b2583c,[14]
2acc14b2e11e73d7ad57,[7]
2ae5a6c65b6218fd75cf,[21]
2af6c5bb46ed4b5e3b98,[20]
2b02796b378056055239,[22]
2b04c480febd1387f2ff,[13]
2b3e8b91cb975cb27563,"[10, 14]"
2b43eb164991645efd93,[21]
2b70465cc4e552f32335,"[12, 17]"
2b83e0204090375e7df7,[18]
2b9f7282e26779ebadbd,[21]
2bc371a765583b787c03,[15]
2bdabe967f739774b036,"[7, 17]"
2be5db38e6f62a74c53e,[20]
2c0f2b28167e10851a00,"[6, 12]"
2c19d4f2325164381164,[12]
2c2ba0ff6d8875add421,[22]
2c2bde8df4b52b0532ad,[17]
2c6a7e8309a1fc07c568,"[9, 20]"
2c6e3732c73764008e5c,[21]
2c87815a56e7d5ec30f3,[22]
2c910404c6975f417712,"[9, 12]"
2c949a67b6c8f3a375e6,[23]
2c9afcab3bfbe05828e1,[3]
2cd644e2195d7667b8c8,"[4, 9, 13]"
2cfe5445c864af2d89ba,[1]
2d2ccea84fc5c67e9431,[16]
2d37314c0ebd75df4de7,"[15, 17, 18, 22]"
2d48bb0fbf7026bdf65d,[15]
2d51f9c174d2418a7321,[20]
2d54a68a6b831ca08b05,[11]
2d74237a6c69db070d2f,[16]
2d7ba52a08d22ced4c2a,"[2, 19]"
2d89d4f468a7469b1899,[9]
2d8efff116a68373176f,[1]
2dbad683234ee18da72f,[11]
2dc5c65b6f7a402c7dab,[0]
2dd2ae874ac108e36ab6,[17]
2dedc3c3efbf823dcfb4,[8]
2df958355f2fec231ec4,"[21, 23]"
2dffdfb34c4af6fd7bf0,[22]
2e1f85c7672f1683c245,[21]
2e34d17050dc5be6c07a,[23]
2e3be9c21542aab626b6,[21]
2e4ea22f8f8692c1d943,[14]
2e4ed0bd89022eda2f70,[13]
2e657c694b5cbf72130d,[4]
2e817328c66311e002f4,[22]
2e9a6cca324256858432,[22]
2ea72078e524e3674fc2,"[4, 7, 8]"
2edd9e92ed293d93d16f,[19]
2eed56d211ba3771b802,[11]
2efef07e3757873176e9,[5]
2f091eed37e96e01827b,[11]
2f1aef876a6144ec9a69,[6]
2f48ab56d3983790872e,"[9, 12]"
2f7917a140f084671826,[22]
2f847f420b05d07d4d6e,[22]
2fc104dacf89819c523e,[21]
2fc6db2bfd3d97b6da62,"[7, 17, 20]"
2fcbe8855133b1001abe,[20]
2fdb479446c9537a1a17,[17]
2fde728b7fd38bfa2150,"[17, 21]"
3003d98948807e35ecc7,[20]
3009d0d1dddda7d54494,[23]
302047bc7a5a062d6c74,[14]
302f8b5e01a37784d1fe,[4]
304c41b7d5c0ffd5625c,[18]
304c60061c3de0af1c04,[22]
30818f62d294a54f1181,"[3, 11]"
