id,target
comedy_0b79f33fa65427caa5c8,1065
comedy_0b7faf2e9c34ad450bd3,0
comedy_0ba2b62f568b50cca194,960
comedy_0bdabfe393a8a5a7c3a8,2325
comedy_0be561524008f6dcb9fa,594
comedy_0c59a2a2a6df4491d6be,0
comedy_0c910b90eedf127ac52c,2368
comedy_0ca9b0a9f966c41b09a6,2320
comedy_0ce96b8922772d58e107,40
comedy_0cfa16765f25670ddd54,1024
comedy_0d3c4989a3ea2f5ad77e,259
comedy_0d4641c8c3f97141a181,0
comedy_0d46b1ce1a5a0351ec7d,16
comedy_0d50e87760fa21cfe113,16
comedy_0d6f98d4c9508eedbfb7,320
comedy_0d762bde15d3f3c717c6,0
comedy_0d831a33e98310c6f873,64
comedy_0d8843868ddba69d28b4,1152
comedy_0da322dc2f3aaa0e162e,0
comedy_0dd76adaecb6a0ddbc66,592
comedy_0df69b45467fdd0c46c1,34
comedy_0e028881ad11bb2f8134,0
comedy_0e185f9ced1f29660923,4
comedy_0e4c6181414ef8ee2f35,373
comedy_0e53d05a89760e417315,0
comedy_0e8359ebb5d13fffd75b,1344
comedy_0ec719e72cedeac302a4,0
comedy_0edab94c8d55a3958519,0
comedy_0eea601e0e59e39a98e9,8
comedy_0f030d6f780e4157b368,1280
comedy_0f33546fddbb879c44a2,3009
comedy_0f6c1dc333a9af41d0b9,261
comedy_0f7ad332a4dad8712aa9,0
comedy_0f9f83abf8a1df46cb25,1
comedy_0fa29cbcb616fb075389,66
comedy_0fae7e7b9b355d33c5ac,65
comedy_0fdac778f9e800ef8019,3166
comedy_10472b66ebdc00daba83,1509
comedy_10b3cb76b9e29296fb61,4
comedy_10b94ffd685ca29aa93a,2113
comedy_114b35a657dbd66de033,1763
comedy_115b400508c864ac0e18,328
comedy_116c3ebcfd3f7be17e59,1027
comedy_11832d079cc07d875e42,2729
comedy_11be8d2ba3fa54fb87ed,2634
comedy_11e13eb852e326d2015f,1284
comedy_1235f8244180e53e62d4,1632
comedy_125721f755e8c177d072,4036
comedy_12a593bc54e6077aab94,402
comedy_12d2a08b210dbe7a9667,0
comedy_12d979cfa08d88781e57,4
comedy_12ec3e61aad5c299101a,1092
comedy_12ecc75c0c57565238a7,2019
comedy_13033df4a58cc1c0ecd8,1300
comedy_131ddc2ba4dc7ab9bc99,4051
comedy_13674fa9577796278563,1
comedy_1371f42a5d47523e51f4,1
comedy_138300a71921f417fb9a,0
comedy_139410962b3c479d4ea9,1969
comedy_13b1ed02373942b99091,0
comedy_13c17455d932caf3e19b,1025
comedy_13c29bf20003315331e2,1296
comedy_13d485db1f7b8ed85762,2052
comedy_13f6774113fae40fd35c,262
comedy_14123637ad44f8fb6f39,0
comedy_14129f10b7d585f00c3c,16
comedy_143a14e3c3fb1e5ad315,422
comedy_144562a6b29bfc3a4748,4063
comedy_145d1fe65acb4df2c304,592
comedy_1463db99223fa5574b17,2661
comedy_147ec9acbab1d44f585c,1
comedy_147f4c0cca81321e708b,64
comedy_1482970f60c39935f3e9,1024
comedy_14b73f79059393d1d821,81
comedy_14c255970424f0a04dd9,1
comedy_15178a867b51821a3f08,1280
comedy_1535e687208a3c2e00ce,2052
comedy_1557b5e670b4beac6e35,350
comedy_15629e1ba5ee1d5911fc,0
comedy_1570df2dd587ca2a39e9,0
comedy_15aac54c81b1bffd7a6b,0
comedy_15b3c31ca9dd70aaf426,0
comedy_15df46dee584fdfc9e8f,3745
comedy_161384aec29db98eddbc,6
comedy_161533cb37a385cdd2e8,0
comedy_167d92b9e40f481ceae3,2368
comedy_1699ef46d4b10fd434f3,0
comedy_169cf8c2f8b377579b08,352
comedy_16b21d0c69a65e1ed8e8,2688
comedy_16cd1e72d49ce97e48b0,3904
comedy_16d13e118c05083e647f,276
comedy_16d9e037946b4a310c34,267
comedy_16e35e97aafe8270973c,64
comedy_16ee0791fdfd29debcbf,2528
comedy_17633fd82bf6a3fe2832,0
comedy_17692756000ac38be0af,256
comedy_177adaffbd5ec7532fe5,0
comedy_1785007927cd9936485d,0
comedy_178cb7aca6bdc8ebfa61,0
comedy_1790739657769f3ae10e,0
comedy_17ca2e09cbf4b9f65db4,1
comedy_17f18a8f6ef603f63a0d,1028
comedy_180c0108ee16dd7be89c,1024
comedy_180d85e4b88da7e90952,262
comedy_185f233220d1729eb8e0,584
comedy_189c52331ae2b650e46e,18
comedy_189df476795a70a12fbb,16
comedy_18a00c756cda8990a366,64
comedy_18a3de10320db7c04db2,3998
comedy_18f795a8f0ab2c22b271,1299
comedy_19211e7fa067bd996ca9,6
comedy_193c08933381158a2ac0,2894
comedy_193ef20803c36ee09a2c,1344
comedy_1949b5c1459a7260f79e,0
comedy_19762d91939016f78b34,16
comedy_19766ce9b56133ad9105,1088
comedy_198459e4d1a0ebbb5d02,4
comedy_198edf824aa27756688b,0
comedy_19bd810712ef5414cfda,1
comedy_1a58698083e37fc28185,64
comedy_1a76634660e9630bc902,0
comedy_1a8a42639ff61e716a21,1186
comedy_1a979b72c8d93afa1abd,286
comedy_1aad1c939d5d868ff5cc,4
comedy_1aeaebf121eea4ac78a8,0
comedy_1b14ee0b09364ed9b69b,0
comedy_1b5443b0b6099a93ed3e,320
comedy_1b5f23c96d4eedbe04a2,144
comedy_1b630c83697f0664ee04,1089
comedy_1b69a69750866b0b9d89,0
comedy_1b85ebb5234763d33f95,1045
comedy_1ba5e1d6dc72db1266f6,0
comedy_1bae426443bcfd314610,256
comedy_1bb5dabfcaf470ee0b21,29
comedy_1bd4af028045566150e1,288
comedy_1be0f7a8227f1eefd8fd,3356
comedy_1bf9c6dc5c42de246f6f,32
comedy_1c0f5fd61735d0b9c23f,0
comedy_1c2145ddfa630000a835,15
comedy_1c74242356acefe9788f,0
comedy_1c904a652f06b51da307,1041
comedy_1d1e481687487b78c01c,0
comedy_1d21627a3481e98c8537,0
comedy_1d25203d0e78805203eb,3824
comedy_1d275e085a447a0251a2,1544
comedy_1d37e5be1010667c2f64,1864
comedy_1d4305484bee4d541872,2049
comedy_1d487e4574e1cf16f52a,1024
comedy_1d64627f668a328c2a6b,0
comedy_1d6c2f7ea125d18c6ef3,149
comedy_1d7429c7db2cf66b3de2,0
comedy_1d79687a36f695a72760,0
comedy_1db0c069cd1b46bfd53c,256
comedy_1de4490f18c30c2e920c,1
comedy_1e116ccb263f919c8fa7,80
comedy_1e910737545a2c321d2e,64
comedy_1e99b6f110c45c53bfbb,324
comedy_1ebea3f566b7e662128d,4
comedy_1ed0b59e3c162e62818c,1024
comedy_1ed1aa6ee3fd6c0c5e98,0
comedy_1edadd9a76181a84452c,0
comedy_1ef76adeb7ec525d9ddc,256
comedy_1ef8add23cdb614b2f1c,0
comedy_1f199da57d03aaaad745,2564
comedy_1f292cc43fdb02ae7974,1024
comedy_1f3b1428624fbc02986d,0
comedy_1f4305f1e0fb06d0637b,4093
comedy_200f11975a5c88b454cd,0
comedy_204601de47e331b0c861,16
comedy_20464c9789fd75445b1b,1106
comedy_2066c3d12483ddeac1bb,3
comedy_2098acb49c712aa4a385,3831
comedy_20b5d3ba6633ea5e04d7,68
comedy_20ca1b4440cc473e29d2,3968
comedy_20e17079398ff30f376d,2304
comedy_20eb61cd6541755afff5,1940
comedy_20fc2a960c03bebd91df,1024
comedy_20fc54c46a0cf30fb75a,35
comedy_20fe1899a0cee636c0fa,1088
comedy_2112eea995104ca96b68,1024
comedy_211edb53a7c09d971d4f,256
comedy_21704062832d93f750a2,4043
comedy_21ad06d7b8231a4627ec,0
comedy_21f35f9e924fea602bed,2057
comedy_22898f67762369e36d36,256
comedy_22f2bee510e57b8b74cd,272
comedy_233fb5eafda08127b812,384
comedy_2350f8ad074ea70b6d91,4031
comedy_2382c13edf8d640fba8f,9
comedy_2384fd76362a651e7dfa,0
comedy_238b72b2e4594ee2507b,16
comedy_23bd26948587aa9490e8,0
comedy_23bd4cfe6f0f4f7e4c56,64
comedy_23bf6407483e95ca341c,0
comedy_23c3beefb1f3deb1f795,2003
comedy_240e5cc30a1b70fcc2e6,20
comedy_24609b35fd924fd5871c,0
comedy_2471aa5c23e49fbd530a,0
comedy_2495f9839176734530bc,64
comedy_249a1d96ef2be777ad56,257
comedy_24c40bf1fbd000729987,645
comedy_24d5d09b0109aa86033c,0
comedy_25113231ccf236c02bda,31
comedy_251b0ad62bb736a3c01b,834
comedy_254138ca98380e87f7e6,0
comedy_254f3a7a38ab0616161b,22
comedy_2590e9f3347317aeadb1,128
comedy_259411f2ec276435dcdb,1
comedy_25a45f8435eb7e86c56f,0
comedy_25c0f966efd593123ead,3991
comedy_25c87022420a9d0b7470,1024
comedy_260994695072667c5036,0
comedy_263d96cd57d6804da9dd,2064
comedy_2644a37e92d7785cfaf6,0
comedy_2647b4aba6ef3a9de236,0
comedy_264c0fac3f59ae3c81d0,1026
comedy_26593ac01f57aafb1ff4,3906
comedy_2677189eca3759d0f55f,4095
comedy_26a1939c9bdd28044966,194
comedy_26c521606621cd7551b4,0
comedy_26db30274d3da7d64263,257
comedy_26dd68045c61fa3dac28,257
comedy_26e66f891c3d62a36520,1024
comedy_270e24b656762d62acf1,1024
comedy_271ba0b45c9050872649,1344
comedy_275cc343390d9181613c,0
comedy_2787d770087eafa8667b,1
comedy_27923c90b2d15f6fa5cc,1874
comedy_27a03a7e5d50953f9016,0
comedy_27b7fb5a01b8b2863c53,36
comedy_27b889ff6bf916e0576a,0
comedy_27f8a003f373027ccfa5,0
comedy_2818195e8ec4a5c30ead,0
comedy_281d046c5c5e0a3ef948,0
comedy_281d84b03eee0850228a,145
comedy_2862569e2a4bbd60354a,196
comedy_288d60ad14983f087ec6,0
comedy_289ec36e85ca91fec430,260
comedy_28f388a808fd5c3b380e,0
comedy_28f882164692784108cb,2048
comedy_2910d96136913e0d694d,64
comedy_2921517bbd923c9a91da,0
comedy_292bf9f08200f2eddf59,0
comedy_295857c38b874e631ee8,0
comedy_2958d32400899e21aad2,4031
comedy_29b576083ff3065870ca,332
comedy_29c51ebcad238819a7c4,0
comedy_29c5e478b9d250c07991,0
comedy_29e6242ade3a5b1aa8d7,260
comedy_2a382e1081538e8701e0,64
comedy_2a4f2c50ede7eb3da744,2689
comedy_2a5453943ade7e1bbb0b,24
comedy_2a7090d51cb1f16fdbba,0
comedy_2a7675bbd37282db7dfe,4
comedy_2ab4d0f2caac27ad4a62,0
comedy_2ac84393b5e4479cc347,271
comedy_2b2e9257ebf52f86c30b,0
comedy_2b3342e362a9000f1856,473
comedy_2b9e72ea081abd34839b,24
comedy_2bc03169298e5e6e4a42,80
comedy_2bd077c7d37eafa39c91,0
comedy_2beee69b55bd63e5f1fc,0
comedy_2bf4e71b44dd08583614,1024
comedy_2c0189eaa1eb08dc8976,0
comedy_2c1b76f2ff21c8f2bb32,1057
comedy_2c35859b939af0c21f4c,1152
comedy_2c3c31ab6e368ffd6fa4,16
comedy_2c5af2e4e14a9b955a97,1024
comedy_2c63b2927eb350cc9319,16
comedy_2c8f3b75dff33134d0bd,0
comedy_2c9cbab7fd8738660238,1049
comedy_2caac9fb7a7bab8a847c,16
comedy_2cbf612cdfa4ced41fee,0
comedy_2cc20447906b8e08d248,0
comedy_2cd935e9cf350a0e7098,1088
comedy_2cdc9d7af00fe7c3b848,4048
comedy_2d09cf0887d2ae49675b,1056
comedy_2d39c50a6bfc3676362d,0
comedy_2d62413ec90514104822,16
comedy_2d6cbbb029a7511989d1,2128
comedy_2d9934112ced898cc5c7,0
comedy_2db46d253fce7a06bb40,1112
comedy_2dd7d321d610d456b3a8,1306
comedy_2e1a9604021de0164d52,1280
comedy_2e2a958fcf93e27bf6d7,1792
comedy_2e2b9488daa130b5e56d,17
comedy_2e368faa9b566b0e80e5,64
comedy_2e3a62c987099031e04a,4047
comedy_2e6ec91d3c9a9021d077,1112
comedy_2e74651af9d894599041,2049
comedy_2edaec2c243807bc355b,256
comedy_2f11cc1a11e46bb16c0f,0
comedy_2f3dcf3f5958ebe2ea93,1
comedy_2f48f3c5ffab5d6cefab,0
comedy_2f9d8a8f16264ad52b6d,0
comedy_2fa4d0753d236d9b39be,0
comedy_2fa57e54dadc877442c1,4
comedy_2feadad491b40f3db0bd,3563
comedy_3019d8b2d9ca8faff4d2,0
comedy_301f9ab357672d87b2b9,0
comedy_30234348ccd3a6d25bec,1024
comedy_305244b3c000a3737f02,532
comedy_308314cc6450044516ac,0
comedy_30c328d1cfba4e83eddb,0
comedy_30d45e7088ab56d358a4,0
comedy_30d6f6ad98eba476aad6,1120
comedy_30ef4ae479c1bc483a9e,0
comedy_30f8a501e83334382394,68
comedy_312edd75bff3e2d80156,0
comedy_31a6c362e437f1e58f61,1028
comedy_31d7e11e08f7c85e1176,0
comedy_31f25e9cbaad27fb8a9e,2064
comedy_31f446e57170391f6570,1795
comedy_31fe5324fabd99efd6c1,0
comedy_3204ba696a0e39fb90e9,3920
comedy_3215f5d5a02bdcdb315a,0
comedy_321eea42a62f6aba7a01,0
comedy_326fa0f584134ac95d06,1702
comedy_328aa1d9ad3fd9ad15d2,1092
comedy_328f3c85039519e7ed9f,1025
comedy_32b91631034f9975454f,512
comedy_32d4c5c9d860ebcb5db1,64
comedy_3309637738f3b82501c3,3994
comedy_3311c182f3cccce68b67,0
comedy_331beab249c2d24a2b17,1024
comedy_3360536db2fc5892ccad,0
comedy_336958653e58c2f53522,0
comedy_33a913253dd166df6b5b,16
comedy_33ad7bb311ae0f3c50aa,57
comedy_33d6e0b7ef221c02db38,16
comedy_33fe70accd874e2c63c0,610
comedy_345d274039875073991a,0
comedy_34648bac0ed9989bfacb,1376
comedy_347a27ea0ceec4f88c98,0
comedy_347e0a2454dc04d0f933,1040
comedy_3485fc61cf4095ae6bcc,0
comedy_34896ab18c8df40b87a9,738
comedy_349f8d99b6f57bdb1ca2,1156
comedy_34a509fb016e5a8e0c9a,1025
comedy_34b14b7677f9569d8d8e,3583
comedy_34c7ec451f01a42c5c21,0
comedy_34df7148faac96cd5419,1025
comedy_34fee643afec44d1e181,257
comedy_35349075633b996b9751,0
comedy_3569cc35739dc9156519,1634
comedy_356e7e8ad59d8f530a28,5
comedy_3570efdc8eaf3e31e3a0,0
comedy_35a20c080290375c5b74,10
comedy_35ac99b123c87d633ee7,64
comedy_35be5d9ca06c99041075,1
comedy_35e887976f4bba20b3cb,0
comedy_35f5012fa00a541be694,128
comedy_362b901c337b1e6d1685,0
comedy_3636fc7a3a92b7ef1b5f,1044
comedy_365969b1bbff09794506,1281
comedy_366a947d35c7072a0ff1,4
comedy_367f71fc927c486ed1f1,69
comedy_36836b421ae3d1e7e5ef,1536
comedy_368b1c30b54078440b42,272
comedy_369211580e0083a7c4ed,65
comedy_36a3b144dfb773506b43,2
comedy_36c4806cc6c83548cecc,0
comedy_36d115d0456e63a16623,0
comedy_3731c3a2e96a44305b74,1334
comedy_373fcdc2f5e6f792f0ec,1104
comedy_3751a337ab2f52052a8a,193
comedy_3760bda427bda1de964c,4010
comedy_3786f81c63adeb95c910,2386
comedy_379f8ca0221a70affa4f,1281
comedy_37b40311dd286a71e866,0
comedy_37cdd177ef2628eb33c3,1424
comedy_37fe85cf0f6b6e12fc2c,3840
comedy_382523695f789ec7836d,2769
comedy_382a2f512b99f6d42b06,2059
comedy_38a88d8286968482ec1e,0
comedy_38af938da9fe8d0a3aed,3062
comedy_38de44f0e7e7e2e8a394,80
comedy_38ea1006e47ac8519dcf,1544
comedy_39073da01d4c50b52cde,2114
comedy_3919f777406458108c64,3138
comedy_3929b4ebd5a05b6c39a7,1661
comedy_3952b4b38196cc7cb6e8,0
comedy_3958c12884728aef7a3e,4
comedy_395a257a1fa39be466dd,0
comedy_396425907b21dc2bb0bb,0
comedy_3969cd1b0fecbd39bb7a,3530
comedy_399a6250d9bc10ba1de2,2304
comedy_39c8605055f93b554b17,1328
comedy_39d38f508525d16e31e8,0
comedy_39f2cf2cde74e54f2fda,1408
comedy_3a1284f99ae10206d960,2
comedy_3a366be0efe028fe7235,0
comedy_3a4b13c5654aa8d1dd28,256
comedy_3a57fed330049fc47341,0
comedy_3a72cddc8fc417e0bb95,68
comedy_3a9d5aed96795b363d25,0
comedy_3aa40b0d7139695115bd,1362
comedy_3ad0421c50dfcb317266,1348
comedy_3ae8e35cf7c33c1bf083,3839
comedy_3b07ac4edca125c91512,0
comedy_3b0be0b57952ef63c9a8,16
comedy_3b32f8adf4a7d0667f14,0
comedy_3b763a1c623f53f1ee96,1013
comedy_3b82fe1de323b06ab478,1
comedy_3bcab2c60885feb3f3fc,4
comedy_3bfae561021c701620a4,1152
comedy_3c1b1f9f6e1d2b7199e0,135
comedy_3c4cd88cd17e155ea6b7,503
comedy_3c6ee67f7d7dc25517a5,48
comedy_3c7163ff7682dc8586f4,4
comedy_3c71d763f79db1eca289,1092
comedy_3c810001cba41b882efa,0
comedy_3c910777d1ff97a85f21,2
comedy_3cb1d13e4e659f14125f,1024
comedy_3cda0653a3d9442b7f3a,1024
comedy_3cdca3a331bf7d4a28df,1812
comedy_3cf6fe87f34601a95e43,1
comedy_3d0a9f15c452cb078b51,0
comedy_3d15688d7d06966cc55a,400
comedy_3d5497a99e7be7035168,768
comedy_3d740424f4f9e0fbaa85,28
comedy_3d772718e264fa4770bc,0
comedy_3d8d19a7c987b7d3b64a,17
comedy_3dc20017eedf4234d203,516
comedy_3dd37c415f0ae6da9524,0
comedy_3dd5064aead7bbd122a8,1025
comedy_3e07ac64e29a0fc1cb73,30
comedy_3e89c19531bbd3bc785b,80
comedy_3eaf94b924716fff30ec,8
comedy_3ebb5f43a437e2e4e66b,16
comedy_3ec1da26adc0fa75d9e8,8
comedy_3ef03498cdcc934b1d71,2048
comedy_3efad34eb85527040287,2853
comedy_3f0aa487b69dc9b47fbb,512
comedy_3f359a3c5fdfb42a4360,0
comedy_3f8290f9b2e4e7236b75,4095
comedy_3f85e83c2caeccb11c27,0
comedy_3fa1e900779a78c5d795,1064
comedy_3facb7962fd9b21e7dcb,20
comedy_3fd412e671fce2fe472e,1
comedy_40429430a3c2b3274a00,257
comedy_404f2bfbbc18a5820e9c,1
comedy_4074f614b4f031495c7d,2898
comedy_408a9da2a11ac1f3f5ce,1
comedy_409fa1482ccf66dcb98a,16
comedy_40addf3474ea86dfa06b,0
comedy_40c346337f50864b2d37,0
comedy_40c709d776094b988620,272
comedy_40c90d436757c4c36470,4
comedy_40cc01991b1f24dff922,1795
comedy_40e6001194ec2c37bee1,1281
comedy_410338e3a8dca637dbcf,17
comedy_41190583aa2ecfea33f8,0
comedy_41198850b126ca34efde,2791
comedy_4154b3933cbfb6b3e614,64
comedy_4164d163dfa6e6035014,1
comedy_416b2f33988ef8e6dd27,80
comedy_418350fe7c8c92f2201b,1
comedy_4186d7759bb26cf3a4ba,544
comedy_42d1195b237b2c52c279,1028
comedy_42eed8e0649078338d1e,1
comedy_42f6d1500e7ee3ac6494,2068
comedy_431315b35473f666e03a,256
comedy_431cf205bf6d146860d2,1045
comedy_433903bb829ea03a0cf7,1040
comedy_438a1770581587785bae,896
comedy_439ff0fd9ce60d0021c8,4
comedy_43d5f2d39c6f7632e827,0
comedy_44195564586da89c9d42,1791
comedy_44511f0d453fb517c38a,4
comedy_4458b695ee60ea9ee708,0
comedy_4469245ba4731a347fa5,0
comedy_447866a6f77711390683,0
comedy_4485c9e0a44083cb6e22,321
comedy_44cb04fb66e2f16a1438,1169
comedy_44d87870f461be11a160,65
comedy_44df47cd8ad7be86b4cb,120
comedy_44f5e31639352eda369f,0
comedy_45122f4e81683872bd53,0
comedy_452ad54164b7dc7d11f3,1963
comedy_453ccf2dd5b417ac2c10,1040
comedy_456f94ae9483a4fca7c5,2066
comedy_45a46c1335f094f7e0cf,1024
comedy_45bcc99183428d84ad0a,1024
comedy_463e2f1b3a68a1d6fa64,0
comedy_466cbc0d17f681d23cc4,67
comedy_46aa7801db4297bb7740,0
comedy_46fbe71708f71b972ca0,0
comedy_46fe0dec83059c92427c,3980
comedy_4703e96b2491a03a9965,3337
comedy_47160bad070870fe6c47,2421
comedy_471c29fac62bcd96913c,4
comedy_47398e33a1891c925b54,2052
comedy_4739e4c29d1f3733a3f8,41
comedy_478063a911e117636d7f,64
comedy_47a79e47a2023ad2820e,272
comedy_481d7131583efa8db103,2256
comedy_483477dca9e834081e5a,4095
comedy_485d93dcfa8fd2cd56ea,1152
comedy_486318e84721b8df546a,915
comedy_486a1c9f3b0c4c0a3241,0
comedy_488b5fe183faef7babc1,1
comedy_48989bb1779cad39052c,0
comedy_48a171bce5f1619d61be,553
comedy_48a680f0246e620a1206,13
comedy_48a8c5d31caebe820a61,0
comedy_48bd69e3804d1b8077fa,4
comedy_48cf5ff06169ba2ec75a,4
comedy_48f7797d543d9017ec80,4094
comedy_49133dea98032393454a,1024
comedy_491f129562a6b4d3eae9,2811
comedy_493353b369e91ac3620a,3645
comedy_4937d7f12b55a4c63a43,384
comedy_49c25524d88fca750715,1408
comedy_49f715c4df62f5c5f5f1,16
comedy_4a07172a9bb647ec6b45,35
comedy_4a3b1c697707262275dc,4
comedy_4aef52c13302e14fd741,0
comedy_4b160cf4b15cef1f3ddd,272
comedy_4b4c52c6cff4fd023bd5,3
comedy_4b4fb89d6dfed2873c3c,1312
comedy_4b5ecb78d35af383cb80,0
comedy_4b74159fdddde654ed38,1774
comedy_4bb273fd006b10acdf2f,1172
comedy_4bc494325e26bc8f5851,1028
comedy_4c24adb2498da357f6f9,768
comedy_4c2ec868b5ea8849fd04,0
comedy_4c3c8bdc37e78e693f67,0
comedy_4c3fe430b8ae3528d13d,67
comedy_4c41cdcc02b1b26ef1ee,3877
comedy_4c7e2f575c66dfe9718c,0
comedy_4c812e5307ea052dc834,0
comedy_4c8fbdd79b28387fe067,2944
comedy_4c949d66884af8237206,0
comedy_4cb9d1577dd9d2d26194,4
comedy_4cd472c90509fc96813a,64
comedy_4ce565470110d2225599,1024
comedy_4d06fb2c4129ccecea14,20
comedy_4d464423cc440abad667,256
comedy_4d4dcf9a86e5cdccf300,320
comedy_4d518db6cbc384941d6f,0
comedy_4deab7a6ae3463a2b77a,64
comedy_4dfcad447a207391bdd1,0
comedy_4e15b1c39bca328f8e95,0
comedy_4e371c70025128f74db0,1109
comedy_4e3a8a6e068c3507722a,1280
comedy_4e60dfc17450802b9f53,16
comedy_4e77e12f9633547ece72,344
comedy_4eac68ad9120e31df6af,2469
comedy_4ecd1dffae459704f258,0
comedy_4eec2a9981b458c7d66f,0
comedy_4efb5bc63cac70e5158d,5
comedy_4f149eb942fb5ac1a1d0,0
comedy_4f7294f42219b0cb1623,0
comedy_4f8148838b6fab910cbd,513
comedy_4fb96c267c3a9f3b2a1d,1378
comedy_4fcbf6ddb0416e00a0ca,1024
comedy_4fd65dcd1281f8845bff,0
comedy_508b37c6d583b2ecc7f1,3073
comedy_5099c8dcc6958682b6bf,0
comedy_50b1df575bba8fe8b64c,5
comedy_50e0058b85380d36ca54,1049
comedy_50e644c23deded3ffdc8,2204
comedy_50e94ca35c1c983e4089,4095
comedy_50fd426945e84f1a57a1,0
comedy_513343333ddd8178139b,0
comedy_5138bf26d71998cc0743,1029
comedy_5146bffc21ba17c759ee,0
comedy_51484cb9748cdc1f5158,0
comedy_515bb74fac37fa6bd36b,0
comedy_516c5c4eaa843cba1b02,4095
comedy_5175a06e4c51db00cabe,0
comedy_5183085a824533c481bd,0
comedy_518bbb3ba426e6b3c4dd,321
comedy_51d2efdd3936475381d2,1040
comedy_523331a7c468554de9b7,707
comedy_52b2e27acb139de0770c,0
comedy_52cb3311c462b1b5bad8,0
comedy_52ede701963286112ad3,2112
comedy_531cfba541c7cf5fe705,0
comedy_531df40926719ec10f15,0
comedy_5338d788cdc6ed7e442b,0
comedy_535950c3099188be1a64,1464
comedy_535bd13445fdad908a12,0
comedy_5395b9577b7a063e128e,3553
comedy_53adeda0b55ecf7eea22,1024
comedy_53c66f6302f2d8313667,1093
comedy_54103383e0411c655cfd,273
comedy_545363019817c5c4fb59,294
comedy_5470424d7d6f4e0b3ba7,645
comedy_548b760a0625462e6063,146
comedy_548f47965da972957463,1024
comedy_54a40c5fb456ba653f85,4
comedy_54e3235f6ed76cdb3cd0,1280
comedy_54f9bdcb4894fbf9f6df,0
comedy_552c5ecf44c8ed17cd45,288
comedy_554a350bfc259f6b8b77,32
comedy_5554fd406af0a103c832,0
comedy_55609eff66fbc1dc0df6,1024
comedy_55615a4c18703964baba,16
comedy_556c97bae3091055e579,82
comedy_55870d374a746362a8a0,16
comedy_55906c252ccce87c00a9,1382
comedy_559a94a7f221beb187fd,256
comedy_563dd8e44a2cf66406b0,1280
comedy_5654745bb9984125170a,64
comedy_56914561a2e1f41ebcd9,0
comedy_5702d718ddf1b3ee6806,0
comedy_5703a873ae2b903366e2,1024
comedy_571685685b36edfb4262,1
comedy_571a2d6d03d9069032ac,2824
comedy_571a89cc6df4e63f2a1d,2834
comedy_571b87f4fa697bf2ab4c,788
comedy_572eb5790723d126405a,0
