task_id,cells
f_f638ebd30d171c323291,"[[1, 0], [1, 1], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 1], [3, 2], [3, 3], [4, 0]]"
f_51fe378382d026e4b12a,"[[4, 0], [4, 1], [4, 2], [4, 3], [5, 0], [5, 1], [5, 2], [5, 3], [6, 0], [6, 1], [6, 2], [6, 3], [7, 0], [7, 1], [7, 2], [7, 3]]"
f_3e82e4cd797d2a0bab92,"[[1, 1], [2, 1], [2, 2], [2, 3]]"
f_5755a25f256422704e13,"[[9, 0], [10, 0], [10, 1], [10, 2], [10, 3], [10, 4]]"
f_7d2056f036d60e83d6ca,"[[2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [7, 2], [8, 0], [8, 1], [8, 2], [9, 0], [9, 2]]"
f_2f88ae25ed7948157a52,"[[2, 0], [2, 1], [2, 3], [12, 1], [12, 3]]"
f_f5799f7cc87fbc06de7d,"[[1, 0], [1, 1], [1, 2]]"
f_b298f9e2c6b2d5c7bf1a,"[[3, 0], [3, 1], [3, 3], [4, 0], [4, 1], [4, 3], [4, 4], [5, 0], [5, 1], [5, 3], [5, 4]]"
f_0070b860c643ea07b601,"[[23, 0], [23, 1], [23, 2], [23, 3]]"
f_e4430c3a830704898721,"[[5, 3], [6, 0], [6, 1], [6, 2], [6, 3], [7, 0], [7, 3]]"
f_416f69aaa72f4432911b,"[[2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2], [4, 1]]"
f_5700d47a4b82e592e28c,"[[2, 0], [2, 1], [2, 3], [3, 0], [3, 1], [3, 3], [4, 0], [5, 0], [5, 1], [5, 3], [6, 0], [6, 1], [6, 3], [8, 0], [8, 1], [8, 3]]"
f_4da1659a8be9ee855d8a,"[[2, 0], [2, 1], [2, 2], [2, 7], [3, 0], [3, 1], [3, 7], [4, 1], [4, 7]]"
f_f520062476718f1b6781,"[[9, 0], [9, 1], [9, 2], [10, 0], [10, 1], [10, 2], [11, 0], [11, 1], [11, 2]]"
f_95ecd36ede63f3cd2e4a,"[[2, 1], [3, 0], [3, 1], [3, 12], [4, 12]]"
f_451a1f9e2186d7100e39,"[[7, 0], [7, 1], [7, 2], [7, 3], [8, 0], [8, 1], [8, 2], [8, 3]]"
f_a4e6aaf80a56992463b8,"[[1, 2], [1, 3], [1, 4], [2, 2], [2, 3], [2, 4], [3, 2], [3, 3], [3, 4]]"
f_c4511c14ca217978d975,"[[9, 0], [10, 0], [11, 0], [11, 1], [11, 2]]"
f_316c336efad91e502a8e,"[[8, 0], [8, 1], [8, 2], [11, 0], [11, 1], [11, 2]]"
f_8724a1fc02b7b593129b,"[[3, 1], [3, 2], [4, 1], [4, 2], [5, 1], [5, 2], [6, 1], [6, 2], [7, 1], [7, 2], [8, 1], [8, 2], [9, 1], [9, 2], [10, 1], [10, 2], [11, 1], [11, 2], [12, 0], [12, 1], [12, 2], [12, 4], [13, 1], [13, 2], [14, 1], [14, 2], [15, 1], [15, 2], [16, 1], [16, 2], [17, 0], [17, 1], [17, 2], [17, 3], [18, 1], [18, 2]]"
f_75f810f340e8d91faadf,"[[10, 0], [10, 1], [10, 2], [11, 0], [12, 1]]"
f_a147a69af2d6bb131941,"[[18, 0], [19, 0], [19, 1], [19, 2], [20, 0], [21, 0]]"
f_c161fb67d1d5292ed3d6,"[[21, 0], [22, 0], [22, 1], [22, 2], [22, 3], [22, 4], [23, 0], [23, 1], [23, 2], [23, 3], [23, 4]]"
f_6e4bc50a5ec295edd49a,"[[12, 0], [13, 0], [13, 1], [13, 2]]"
f_b8fee3dd00c6f814738e,"[[0, 0], [0, 2], [1, 2]]"
f_45c3d192a095f0d945e9,"[[4, 0], [4, 1], [4, 2], [4, 3], [18, 0], [18, 1], [18, 2], [18, 3]]"
f_09841e0428ba9ab78481,"[[1, 2], [1, 3], [2, 2], [2, 3], [3, 2], [3, 3], [4, 2], [4, 3], [5, 2], [5, 3], [6, 2], [6, 3], [7, 2], [7, 3], [8, 2], [8, 3], [9, 2], [9, 3], [10, 0], [10, 1], [10, 2], [10, 3], [11, 1], [11, 2], [11, 3], [12, 1], [12, 2], [12, 3], [13, 1], [13, 2], [13, 3], [14, 1], [14, 2], [14, 3]]"
f_2f07b572fcb33539bd18,"[[2, 0], [2, 1], [2, 2], [2, 3], [5, 0], [5, 1], [5, 2], [5, 3]]"
f_b0b3a6bf4146bf143d2e,"[[16, 8], [17, 0], [17, 3], [19, 8], [22, 0], [22, 3]]"
f_537988ce9b60d8a79221,"[[2, 0], [2, 1], [2, 3], [3, 0], [4, 0], [4, 1], [5, 0]]"
f_f1bb33288f81927ce4c4,"[[1, 0], [1, 2], [1, 3], [1, 4], [6, 0], [6, 2], [6, 3], [6, 4], [7, 2], [7, 3], [7, 4], [8, 2], [8, 3], [8, 4]]"
f_d26cd10ff820a686672b,"[[3, 0], [3, 2], [3, 4], [3, 5], [4, 0], [5, 0], [6, 0], [6, 2], [6, 4], [6, 5], [7, 0], [8, 0]]"
f_57a043c72aa3bfc5ce1c,"[[14, 0], [15, 0], [16, 0], [16, 1], [16, 4], [16, 5]]"
f_7806d7ac5f81a16cf64b,"[[5, 0], [6, 0], [6, 1], [6, 3], [6, 4], [7, 0]]"
f_01cf2b025908f3af25a9,"[[1, 2], [1, 3], [1, 4], [2, 2], [2, 4]]"
f_da71a0f913b852d20abd,"[[2, 0], [2, 3], [2, 4], [2, 5], [3, 0], [3, 3], [3, 4], [3, 5]]"
f_0840aec6072cebe7d3d9,"[[1, 0], [1, 1], [1, 2], [1, 4], [16, 0], [16, 1], [16, 2], [16, 4]]"
f_657f8f25fd37e2ef929a,"[[6, 0], [6, 1], [6, 2], [6, 3], [7, 0], [7, 1], [7, 2], [7, 3]]"
f_946ed430d124f090b7b9,"[[1, 0], [1, 1], [1, 4], [2, 0], [2, 1], [2, 4]]"
f_6c62108d34012523a7da,"[[1, 1], [1, 2], [23, 1], [23, 2], [24, 1], [24, 2], [24, 3], [24, 4], [24, 5], [24, 6]]"
f_fe83cfda4761b886bb47,"[[1, 0], [1, 2], [1, 3], [1, 4], [1, 5]]"
f_e40b54abc97ab6935044,"[[5, 0], [5, 1], [5, 2], [6, 0], [6, 1], [6, 2]]"
f_ccbf9850909d8884ce08,"[[1, 0], [2, 0], [2, 1], [2, 2], [2, 3]]"
f_6cf4432652b781e0a6c5,"[[13, 1], [13, 2], [14, 1]]"
f_216d2e52a58d87592ecf,"[[1, 1], [27, 1], [28, 0], [28, 1], [29, 3], [29, 4], [29, 5], [29, 6]]"
f_38c2662714d0722431b0,"[[1, 1], [1, 3], [2, 1], [2, 3]]"
f_3a9ffe4734e79d63757f,"[[1, 0], [1, 1], [1, 2], [1, 4], [2, 1], [4, 1]]"
f_27a7bdbec9a4e6865bf6,"[[2, 4], [3, 1], [3, 3], [3, 4]]"
f_79b42000f10ef4f5f9e8,"[[6, 0], [7, 0], [8, 0], [8, 1], [8, 2], [8, 3]]"
f_fb11c283cb575dbd35e9,"[[10, 0], [11, 0], [11, 1], [11, 2], [12, 0], [13, 0], [14, 0], [14, 1], [15, 0], [16, 0]]"
f_834712297e15009c01fa,"[[3, 0], [3, 3], [3, 5], [4, 0], [4, 3], [4, 5]]"
f_10c752c94c7c29f3555c,"[[6, 0], [6, 1], [6, 2], [10, 0], [10, 1], [10, 2], [11, 0], [11, 1], [11, 2]]"
f_80dab8f9691cac2f7d95,"[[4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [11, 0], [11, 1], [11, 2], [12, 1], [12, 2]]"
f_9a05ecbdb777ae14a639,"[[5, 0], [5, 1], [6, 0], [6, 1]]"
f_bd00be1cb5056638af92,"[[10, 0], [10, 2]]"
f_21cacc22694a7118f81b,"[[2, 0], [2, 2], [3, 0], [3, 2], [4, 0], [4, 2]]"
f_44afd657da3703cb8b46,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5]]"
f_52243af1d293965b4f06,"[[7, 0], [7, 1], [7, 3], [8, 0], [8, 1], [8, 3], [9, 0], [9, 1], [9, 3], [9, 4]]"
f_16f38c19ed3da982d71f,"[[1, 2], [1, 4], [2, 2], [2, 4]]"
f_8023e3f1087cf95c03c8,"[[1, 1], [1, 2], [6, 0], [6, 1], [6, 2], [11, 1], [11, 2]]"
f_4125e99b7611f26a5e78,"[[0, 1], [1, 1]]"
f_77cfb7608320ac6184fa,"[[1, 0], [1, 3], [2, 0], [2, 3], [3, 0], [3, 3], [4, 0], [4, 3], [5, 0], [5, 3]]"
f_f3b8528b0f23ee7b6454,"[[1, 1], [1, 2], [1, 3], [1, 4], [2, 1], [2, 3], [3, 1], [3, 3], [3, 4], [4, 1], [4, 3], [4, 4], [5, 1], [5, 3], [5, 4], [6, 0], [7, 0], [7, 3], [8, 3], [9, 3]]"
f_d54ae75912cb286a1b62,"[[3, 4], [4, 1], [4, 2], [4, 3], [4, 4], [5, 1], [5, 2], [5, 3], [5, 4], [6, 4]]"
f_14816fc7b7af155df2bd,"[[1, 0], [1, 1], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3]]"
f_aaafad621d2197f7dfe1,"[[6, 1], [7, 1], [8, 1], [9, 0], [9, 1], [10, 0], [10, 1], [11, 0], [11, 1], [11, 2]]"
f_b6297301ee8fb9652dc6,"[[1, 2], [12, 0]]"
f_b3df2ce06f1f2e9600b0,"[[9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [13, 1], [13, 3], [13, 4], [14, 0], [14, 3], [14, 4]]"
f_24b1abf7d384cf7e3624,"[[1, 2], [6, 2]]"
f_39ef48c57bc5449e9ee5,"[[4, 2], [5, 2]]"
f_89f04f3aa3ac62c2c9a3,"[[5, 2], [5, 3], [6, 2], [6, 3]]"
f_e6fc580803b2cf9d1dcb,"[[1, 4], [2, 4], [3, 4], [4, 2], [4, 4]]"
f_85e14795e73a80ab5baf,"[[17, 0], [17, 4], [22, 0], [22, 3], [22, 4]]"
f_cb7440dfc992744ec960,"[[5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [12, 4], [13, 4], [14, 4], [15, 0], [15, 1], [15, 3], [15, 4]]"
f_438a238e59828752d637,"[[5, 2], [6, 2]]"
f_6a33cfb89ca6a81f6364,"[[2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2], [11, 0], [11, 1], [11, 2], [12, 0], [12, 1], [12, 2]]"
f_76522cc5001e6e1e1f84,"[[13, 0], [14, 0], [14, 1], [14, 2], [15, 0]]"
f_3623d22eb06cbdfce585,"[[1, 1], [2, 1], [3, 1], [4, 1], [4, 4], [5, 1], [5, 4]]"
f_e5ac1a4b3d86baa575ae,"[[13, 0], [13, 1], [13, 2], [13, 3], [16, 0], [16, 1], [16, 2], [16, 3], [20, 0], [20, 1], [20, 2], [20, 3], [26, 0], [26, 1], [26, 2], [26, 3]]"
f_28c39dde37e1ac297497,"[[11, 0], [11, 1], [11, 2], [23, 0], [23, 1], [23, 2]]"
f_fae857e9ee33592d3032,"[[2, 0], [2, 1], [4, 2]]"
f_23545cc1dccdb2b9f36d,"[[1, 0], [1, 1], [1, 2], [3, 0], [3, 1], [3, 2], [4, 0], [4, 1], [4, 2]]"
f_33a7b50fc2547d979c2d,"[[10, 1], [10, 2], [11, 1], [11, 2], [12, 1], [12, 2], [13, 1], [13, 2], [14, 1], [14, 2], [15, 1], [15, 2], [16, 0], [16, 1], [16, 2], [17, 1], [17, 2]]"
f_3bf1bd4dcb7c86bad649,"[[1, 1], [1, 4], [1, 5], [2, 1], [2, 3]]"
f_a6f62aabd9cb79c66348,"[[15, 0], [15, 1], [15, 2], [15, 3], [16, 0], [16, 1], [16, 2], [16, 3]]"
f_8a7cabf130852c800ed8,"[[16, 0], [17, 0], [18, 0], [18, 1], [18, 2]]"
f_7df53a2c54f816fa0cc5,"[[1, 3], [1, 4], [2, 4], [3, 4], [4, 0], [4, 4], [4, 5], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4]]"
f_804e8876a4b321dd96a9,"[[2, 0], [2, 3], [3, 0], [3, 3], [4, 0], [5, 0]]"
f_0857461f984ade57cbe8,"[[2, 1], [2, 4], [3, 1], [3, 4], [4, 1], [4, 4], [5, 1], [5, 4]]"
f_855d3cf2a1249f7db445,"[[2, 0], [2, 1], [2, 4], [4, 0], [4, 1], [4, 3], [4, 4], [5, 0], [5, 1], [5, 3], [5, 4], [6, 0], [7, 0], [8, 0], [9, 0], [9, 1], [9, 3], [9, 4], [10, 0], [11, 0], [11, 1], [11, 4]]"
f_d6437553dac367204430,"[[2, 0], [2, 1], [2, 2], [2, 3], [2, 4]]"
f_9604815df2c3d05f515b,"[[2, 0], [2, 5], [5, 0], [5, 5]]"
f_8d7f9ed3bc087b4a6dd5,"[[6, 0], [6, 2], [6, 3], [11, 0], [11, 2], [11, 3]]"
f_8bbd41bed0b2a187af4c,"[[10, 0], [10, 1], [10, 2], [11, 0], [12, 0], [12, 1], [12, 2]]"
f_b891ea108f9603057e09,"[[1, 0], [2, 0], [2, 1], [2, 2]]"
f_f16f9f4bb35ee5c79428,"[[1, 0], [1, 1], [2, 0], [2, 1]]"
f_bd62e631b52ab27cd6ef,"[[1, 1], [1, 2], [1, 3], [5, 0], [5, 1], [5, 2], [5, 3]]"
f_493ad557ecc4b5e97f53,"[[3, 1], [4, 1], [5, 1], [6, 1], [7, 0], [7, 1], [7, 2]]"
f_8ded389b2a740051d047,"[[1, 0], [1, 2], [2, 0]]"
f_a6ae6ec8b5da4fd45ca1,"[[9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [17, 7]]"
f_5d454a79fc63cae26731,"[[1, 2], [1, 5], [1, 6], [2, 2], [2, 5], [2, 6], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]]"
f_87f1be4b88b42d1a222c,"[[8, 1], [8, 4], [9, 1], [9, 2], [9, 3], [10, 1], [10, 3], [10, 4]]"
f_de1f2b4ff56be3349ab8,"[[4, 0], [4, 1], [4, 8], [5, 0], [5, 1], [5, 8]]"
f_ac15a267a49af50b30d6,"[[4, 0], [4, 1], [4, 3], [5, 0], [6, 0], [6, 1], [6, 3]]"
f_83477bd1ba0bdec9d7ac,"[[14, 0], [14, 1], [14, 3], [14, 5], [15, 0], [15, 1], [15, 3], [15, 5]]"
f_6965afd9ecfbe91f94eb,"[[2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [9, 2]]"
f_1c828aa4715eece4f720,"[[3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [4, 0], [4, 1]]"
f_42eef0fc4588cb79acdb,"[[2, 1], [3, 1], [4, 1], [8, 1]]"
f_a9d52e3c50b0bb62664b,"[[1, 3], [3, 3], [4, 3], [5, 2], [5, 3], [6, 3], [7, 3], [8, 3], [10, 3], [11, 3], [12, 2], [12, 3], [15, 3], [16, 3], [19, 3], [22, 3], [23, 2], [23, 3], [24, 0], [24, 1], [24, 2], [24, 3]]"
f_516e5edc6113141b6c3b,"[[1, 1], [1, 2], [2, 1], [2, 2], [6, 3]]"
f_096f70ae4053b0292f2e,"[[2, 0], [2, 1], [3, 0], [3, 1], [4, 0], [4, 1], [5, 0], [5, 1], [8, 0], [8, 1], [9, 0], [9, 1], [10, 0], [10, 1], [11, 0], [11, 1], [14, 0], [14, 1], [15, 0], [15, 1], [16, 0], [16, 1], [17, 0], [17, 1], [18, 0], [18, 1], [19, 0], [19, 1], [21, 2]]"
f_234d0b82fcb6d89d4ce7,"[[4, 0], [5, 0], [5, 1], [5, 3], [5, 4], [5, 5], [6, 0], [6, 1], [7, 0], [7, 1], [8, 0], [9, 0], [10, 0]]"
f_75a660f7194e305ba3ba,"[[22, 0], [22, 1], [22, 2], [23, 0], [23, 1], [23, 2], [26, 0], [26, 1], [26, 2]]"
f_430fa47c42fd76d98d87,"[[5, 0], [6, 0], [6, 1], [6, 4]]"
f_cff27563457fce6d780f,"[[8, 0], [9, 0], [9, 1], [9, 2]]"
f_63c2359785034f2c623e,"[[2, 0], [2, 2], [3, 0], [3, 2]]"
f_0dcb8b7cc4037b050f96,"[[16, 0], [16, 1], [17, 0], [17, 1], [17, 2]]"
f_0fddc5c9d00fd259782d,"[[2, 0], [2, 1], [2, 2], [3, 0], [3, 2], [4, 0], [4, 2], [5, 0], [5, 2]]"
f_3e49761c64f1a6ffc1f3,"[[2, 0], [3, 0], [4, 0], [4, 1], [4, 3], [4, 4]]"
f_7de18552dbd8c07578c7,"[[26, 0], [26, 1], [26, 2], [26, 3], [26, 4], [27, 0], [28, 0], [28, 1], [28, 2], [28, 3], [28, 4], [29, 0]]"
f_bad6fd6c690b674b5b9b,"[[6, 3], [7, 1], [7, 3], [7, 4]]"
f_5f8951bac1c54a49d335,"[[4, 0], [4, 1], [4, 2], [4, 3], [5, 0], [5, 1], [5, 2]]"
f_c26e675413f932dd5174,"[[3, 0], [3, 4], [8, 0], [8, 2], [8, 4]]"
f_fa23263b8ecb541870b1,"[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [12, 1], [14, 1], [15, 1], [16, 1], [17, 1], [18, 1], [19, 1], [20, 1], [21, 1], [22, 1], [23, 1], [24, 3], [24, 4], [24, 5], [24, 6]]"
f_563e5c9775f96a557c05,"[[4, 0], [4, 1], [4, 2], [4, 3]]"
f_c2894554b84b7c55d7e0,"[[0, 0], [0, 1], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [12, 0], [12, 1], [13, 1], [14, 1], [15, 1], [16, 1], [17, 1], [18, 1], [19, 1], [20, 1], [21, 1], [22, 0], [22, 1], [23, 1], [24, 1]]"
f_03c78e38e176eda2f2bb,"[[10, 0], [11, 0], [11, 1], [11, 2]]"
f_d37f5755d8fe7c283951,"[[6, 2], [7, 0], [7, 1], [7, 2], [7, 3], [8, 0], [8, 1], [8, 2], [8, 3]]"
f_839abf16ffb7191fab6d,"[[1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 1], [3, 2], [4, 1], [5, 1], [6, 1], [7, 1], [7, 2], [7, 3], [7, 4]]"
f_30e60267b9cc6e8d9b08,"[[8, 0], [9, 0], [9, 1], [9, 3], [9, 5]]"
f_9797d88dd8cf979f2644,"[[11, 0], [11, 1], [11, 2], [12, 0], [12, 1], [12, 2]]"
f_1d0ef494f834d230b40e,"[[1, 0], [1, 1], [1, 4], [2, 0], [2, 1], [2, 3], [2, 4]]"
f_aa10e5a4349486cf21e8,"[[2, 2], [2, 6], [4, 0], [4, 2], [4, 3], [5, 0], [5, 2], [5, 3], [6, 3], [7, 3]]"
f_e8163e4e4ba2d892ffc7,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [3, 0], [3, 1], [4, 0], [4, 1], [5, 0], [5, 1], [6, 0], [6, 1], [7, 0], [7, 1]]"
f_0dc11b1be4d2fb477181,"[[1, 0], [1, 1], [1, 2], [1, 4], [2, 1], [2, 4]]"
f_34a37cc71f48646464bf,"[[1, 0], [1, 1], [1, 2], [1, 4], [2, 0], [2, 1], [2, 2], [2, 4], [3, 0], [3, 1], [3, 2], [3, 4], [4, 0], [4, 1], [4, 2], [4, 4], [5, 0], [5, 1], [5, 2], [5, 4], [6, 0], [6, 1], [7, 0], [7, 1], [8, 0], [8, 1], [9, 0], [9, 1], [10, 0], [10, 1], [11, 0], [11, 1]]"
f_a47b7858c293d116b313,"[[10, 0], [11, 0], [11, 1], [11, 2], [12, 0], [13, 0], [14, 0], [14, 1], [14, 2], [22, 0], [22, 1], [22, 2], [23, 0]]"
f_9724ce43c303cc942dba,"[[8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [14, 3], [15, 3], [16, 3], [17, 3], [18, 3], [19, 3], [20, 3], [21, 3], [22, 3], [23, 0], [23, 1], [23, 2], [23, 3], [23, 4], [24, 0], [24, 3], [25, 3], [26, 3]]"
f_68f0ec4cbdbcd420987e,"[[8, 0], [8, 1], [9, 0], [9, 1]]"
f_f4d55923303e479a6ae1,"[[6, 3], [8, 0], [8, 3], [8, 4]]"
f_7337452609f1e6b00f6d,"[[1, 2], [2, 1], [2, 2], [2, 4]]"
f_e758ebb18ebd3bf59031,"[[1, 0], [2, 0], [2, 1], [2, 2], [2, 3]]"
f_0c95d208a24a9ae0d6d6,"[[4, 1], [4, 2], [4, 3]]"
f_0df955385f686f9c6c1a,"[[1, 2], [1, 4], [2, 2], [2, 4], [3, 2], [3, 4]]"
f_d146fff7c5321a14a844,"[[1, 0], [1, 1], [1, 2], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4]]"
f_e9ba3958ed190a65d58c,"[[6, 0], [6, 1], [6, 3], [6, 4], [7, 0], [7, 1], [7, 3], [7, 4]]"
f_7cb171f6e9d5b70fe939,"[[1, 0], [1, 2], [1, 3], [2, 2], [2, 3]]"
f_af77b49d1f02b47c5cab,"[[1, 0], [1, 1], [1, 2], [1, 3], [3, 0], [3, 1], [3, 2], [3, 3]]"
